title,method,complexity,scenario,advantages,limitations,data_driven,category,category_zh,category_bilingual,source_category
Latent Abstraction for Retrieval-Augmented Generation,LAnR produces dense retrieval vectors from hidden states of a designated [PRED] token and uses them to match against encoded document representations. It adaptively decides when sufficient evidence has been retrieved...,medium,six QA benchmarks spanning single-hop and multi-hop settings,"LAnR (Latent Abstraction for RAG), a unified framework where a single LLM jointly performs encoding, retrieval, and generation entirely within its own latent space.",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
TeleEmbedBench: A Multi-Corpus Embedding Benchmark for RAG in Telecommunications,"Construct a benchmark using an automated pipeline where one LLM generates queries from text chunks and a secondary LLM validates them, evaluate eight embedding models, and introduce TeleEmbedBench-Clean for robustness...",high,"O-RAN Alliance specifications, 3GPP release documents, and the srsRAN open-source codebase","Introduce TeleEmbedBench, the first large-scale, multi-corpus embedding benchmark designed specifically for telecommunications to address the evaluation gap.",unknown,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
Semantic Entanglement in Vector-Based Retrieval: A Formal Framework and Context-Conditioned Disentanglement Pipeline for Agentic RAG Systems,"Semantic Disentanglement Pipeline (SDP), a four-stage preprocessing framework with context-conditioned preprocessing and continuous feedback mechanism that adapts document structure based on agent performance",medium,"real-world enterprise healthcare knowledge base comprising over 2,000 documents across approximately 25 sub-domains","Introducing the Semantic Disentanglement Pipeline (SDP), a four-stage preprocessing framework that restructures documents prior to embedding to reduce semantic entanglement and improve retrieval precision","The paper does not claim that entanglement fully explains RAG failure, but that it captures a distinct preprocessing failure mode that downstream optimization cannot reliably correct once encoded into the vector space",yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
EHRAG: Bridging Semantic Gaps in Lightweight GraphRAG via Hybrid Hypergraph Construction and Retrieval,EHRAG constructs structural hyperedges based on sentence-level co-occurrence with lightweight entity extraction and semantic hyperedges by clustering entity text embeddings. It performs a structure-semantic hybrid dif...,medium,four datasets (specific names not mentioned),"EHRAG constructs a hypergraph that captures both structural and semantic relationships, and employs a hybrid structural-semantic retrieval mechanism.",unknown,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Core Retrieval and Ranking Methods
STRIDE: Strategic Iterative Decision-Making for Retrieval-Augmented Multi-Hop Question Answering,"STRIDE framework with a Meta-Planner that constructs an entity-agnostic reasoning skeleton, a Supervisor that orchestrates sub-question execution in a dependency-aware manner, and specialized execution modules for gro...",high,unknown,"STRIDE, a framework that separates strategic planning, dynamic control, and grounded execution to address issues in iterative retrieval-augmented generation for MHQA.",unknown,unknown,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
Neuro-Symbolic Resolution of Recommendation Conflicts in Multimorbidity Clinical Guidelines,"A multi-agent system that translates unstructured clinical guidelines into symbolic logic language, which is then verified by a SAT solver, and a hierarchical taxonomy of logical rule interactions to identify Local Co...",high,A curated benchmark of 12 authoritative SGLT2 inhibitor guidelines.,A Neuro-Symbolic framework that automates the detection of recommendation redundancies and conflicts by translating unstructured clinical natural language into symbolic logic and verifying it with a SAT solver.,unknown,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),"Reliability, Safety, Privacy, and Security"
AutoSearch: Adaptive Search Depth for Efficient Agentic RAG via Reinforcement Learning,"AutoSearch, a reinforcement learning framework that evaluates each search step via self-generated intermediate answers to identify minimal sufficient search depth and promote efficient search.",medium,multiple benchmarks,"Identifying a minimal sufficient search depth that balances accuracy and efficiency, and using reinforcement learning to adaptively determine this depth.",unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
Align Documents to Questions: Question-Oriented Document Rewriting for Retrieval-Augmented Generation,"QREAM framework with two stages: (1) QREAM-ICL that uses stylistic seeds for iterative rewriting exploration, and (2) QREAM-FT, a lightweight student model distilled from denoiced ICL outputs using dual-criteria rejec...",medium,unknown,"QREAM, a style-controlled rewriter that aligns retrieved documents with a question-oriented style while preserving facts, making them better for LLM readers to utilize.",unknown,unknown,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
RoTRAG: Rule of Thumb Reasoning for Conversation Harm Detection with Retrieval-Augmented Generation,RoTRAG retrieves relevant RoTs from an external corpus for each turn and uses them for reasoning and classification. It includes a lightweight binary routing classifier to decide whether a turn requires retrieval-grou...,medium,ProsocialDialog and Safety Reasoning Multi Turn Dialogue,"A retrieval-augmented framework that incorporates concise human-written moral norms (Rules of Thumb) into LLM-based harm assessment, using them as explicit normative evidence for turn-level reasoning and final severit...",unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Domain-Specific RAG Applications
KIRA: Knowledge-Intensive Image Retrieval and Reasoning Architecture for Specialized Visual Domains,"a five-stage framework with: (1) hierarchical semantic chunking with DINO-based region detection for knowledge base construction, (2) domain adaptive contrastive encoders with fewshot adaptation for rare visual concep...",medium,"DOMAINVQAR benchmark suite and four specialized domains (medical Xray, circuit diagrams, satellite imagery, and histopathology)","KIRA, a unified five-stage framework that addresses ten core problems in visual RAG for specialized domains",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
A Case Study on the Impact of Anonymization Along the RAG Pipeline,A case study that systematically and empirically measures the impact of anonymization at two points along the RAG pipeline: the dataset and generated answer.,medium,unknown,The placement of anonymization along the RAG pipeline affects privacy-utility trade-offs.,unknown,unknown,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
RAGognizer: Hallucination-Aware Fine-Tuning via Detection Head Integration,"RAGognizer, a hallucination-aware fine-tuning approach that integrates a lightweight detection head into an LLM for joint optimization of language modeling and hallucination detection",high,"RAGognize, a dataset of naturally occurring closed-domain hallucinations with token-level annotations",Hallucination detection based on internal state representation can serve as a direct training signal,unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)",Core Retrieval and Ranking Methods
CHOP: Chunkwise Context-Preserving Framework for RAG on Multi Documents,"CHOP integrates two key components: the CNM-Extractor, which generates compact per-chunk signatures capturing categories, key nouns, and model names, and the Continuity Decision Module, which preserves contextual cohe...",medium,benchmark datasets,"CHOP, a framework that iteratively evaluates chunk relevance with Large Language Models (LLMs) and progressively reconstructs documents by determining their association with specific topics or query types",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
Skill-RAG: Failure-State-Aware Retrieval Augmentation via Hidden-State Probing and Skill Routing,"Skill-RAG uses a hidden-state prober that gates retrieval at two pipeline stages and a skill router that selects among four retrieval skills (query rewriting, question decomposition, evidence focusing, and exit skill)...",medium,multiple open-domain QA and complex reasoning benchmarks,Skill-RAG is a failure-aware RAG framework that couples a lightweight hidden-state prober with a prompt-based skill router to diagnose underlying causes of retrieval failures and select appropriate retrieval skills.,unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
EvoRAG: Making Knowledge Graph-based RAG Automatically Evolve through Feedback-driven Backpropagation,"EvoRAG, a self-evolving KG-RAG framework that leverages feedback over generated responses to continuously refine the KG and enhance reasoning accuracy, featuring a feedback-driven backpropagation mechanism that attrib...",medium,not specified,"Feedback on generated responses offers effective supervision for improving KG quality, and a mechanism is needed to link response-level feedback to triplet-level contribution evaluation and knowledge updates in the KG.",not specified,unknown,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Knowledge Graph and Structured Knowledge RAG
"CodeMMR: Bridging Natural Language, Code, and Image for Unified Retrieval","CodeMMR, a unified retrieval model that uses instruction-based multimodal alignment to embed natural language, code, and images into a shared semantic space.",medium,"MMCoIR benchmark, evaluating multimodal code IR across five visual domains, eight programming languages, eleven libraries.","A unified retrieval model that jointly embeds natural language, code, and images into a shared semantic space through instruction-based multimodal alignment.",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
Rethinking the Necessity of Adaptive Retrieval-Augmented Generation through the Lens of Adaptive Listwise Ranking,"AdaRankLLM framework with an adaptive ranker employing zero-shot prompt with passage dropout mechanism, and a two-stage progressive distillation paradigm enhanced by data sampling and augmentation techniques.",medium,three datasets and eight LLMs,"AdaRankLLM, a novel adaptive retrieval framework that functions as a noise filter for weaker models and an efficiency optimizer for stronger reasoning models.",not specified,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
SAGE: Selective Attention-Guided Extraction for Token-Efficient,"Selective Attention-Guided Extraction (SAGE), a training-free context reduction framework that uses a lightweight local LLM for a single prefilling pass to generate attention-based relevance scores and selects top-sco...",high,multiple long-document QA benchmarks (not specifically named),Use language model attention signals to create a query-specific relevance heatmap and implement differential attention strategies to isolate question-relevant evidence.,unknown,yes,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)","Efficiency, Deployment, and On-Device RAG"
LLM4C2Rust: Large Language Models for Automated Memory-Safe Code Transpilation,"A RAG-enhanced pipeline that uses a segmentation strategy to process C/C++ code in balanced blocks, guiding the LLM with retrieved context from Rust documentation and compiler error references.",medium,Coreutils programs,A Retrieval-Augmented Generation (RAG)-assisted framework that integrates a Large Language Model (LLM) with a Small Language Model (SLM) to perform C/C++-to-Rust transpilation with enhanced memory safety.,not specified,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Domain-Specific RAG Applications
Enhancing Large Language Models with Retrieval Augmented Generation for Software Testing and Inspection Automation,Retrieval Augmented Generation (RAG) pipeline to integrate external knowledge sources for automated test case generation and code inspection,medium,unknown,Implementing a Retrieval Augmented Generation (RAG) pipeline to integrate supplementary knowledge sources and provide additional context to LLMs for software testing and inspection,unknown,unknown,Domain-Specific RAG Applications,领域应用型 RAG,领域应用型 RAG (Domain-Specific RAG Applications),Domain-Specific RAG Applications
UrbanClipAtlas: A Visual Analytics Framework for Event and Scene Retrieval in Urban Videos,"The system segments extended recordings into short clips, generates textual descriptions with a vision-language model, and indexes them for semantic retrieval. A knowledge graph maps entities and relations from LLM an...",medium,StreetAware dataset,"A visual analytics system that combines retrieval-augmented generation (RAG), taxonomy-aware entity extraction, and video grounding to support event retrieval and interpretation.",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Core Retrieval and Ranking Methods
UniDoc-RL: Coarse-to-Fine Visual RAG with Hierarchical Actions and Dense Rewards,"Formulates visual information acquisition as a sequential decision-making problem with hierarchical action space (coarse-grained document retrieval to fine-grained image selection and active region cropping), using de...",high,A comprehensive dataset of high-quality reasoning trajectories with fine-grained action annotations (curated by the authors); benchmarks not specified by name,"A unified reinforcement learning framework where an LVLM agent jointly performs retrieval, reranking, active visual perception, and reasoning",Unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
Toward Agentic RAG for Ukrainian,A system using two-stage retrieval (BGE-M3 with BGE reranking) and a lightweight agentic layer for query rephrasing and answer-retry loops on Qwen2.5-3B-Instruct.,medium,UNLP 2026 Shared Task on Multi-Domain Document Understanding,Combining two-stage retrieval (BGE-M3 with BGE reranking) with a lightweight agentic layer that performs query rephrasing and answer-retry loops on top of Qwen2.5-3B-Instruct.,Practical limitations of offline agentic pipelines,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
LR-Robot: An Human-in-the-Loop LLM Framework for Systematic Literature Reviews with Applications in Financial Research,"A framework leveraging retrieval-augmented generation (RAG) to support downstream analyses including temporal evolution tracking and label-enhanced citation networks, with domain experts defining taxonomies and LLMs e...",medium,"A corpus of 12,666 option pricing articles spanning 50 years","LR-Robot, a novel framework in which domain experts define multidimensional classification taxonomies and prompt constraints that encode conceptual boundaries, large language models (LLMs) execute scalable classificat...",not specified,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
Prompt-Driven Code Summarization: A Systematic Literature Review,"Systematic literature review examining various prompting paradigms including few-shot prompting, chain-of-thought reasoning, retrieval-augmented generation, and zero-shot learning for code summarization.",medium,unknown,"Consolidating existing evidence, categorizing prompting paradigms, examining their effectiveness, and identifying gaps in prompt engineering for LLM-based code summarization.","Evaluation practices vary widely, with most studies relying on overlap-based metrics that may not capture semantic quality. Current research remains fragmented with limited understanding of which prompting strategies...",unknown,"Survey, Theory, and Governance",综述、理论与治理,"综述、理论与治理 (Survey, Theory, and Governance)","Survey, Theory, and Governance"
Enhancing Mental Health Counseling Support in Bangladesh using Culturally-Grounded Knowledge,"Retrieval-augmented generation (RAG) and knowledge graph (KG)-based method to support para-counselors, with a manually constructed and clinically validated KG capturing causal relationships",medium,Mental health and counseling applications in Bangladesh,"Systematically incorporating domain-specific, clinically validated knowledge into LLMs to improve counseling quality",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
"Don't Retrieve, Navigate: Distilling Enterprise Knowledge into Navigable Agent Skills for QA and RAG","The compilation pipeline iteratively clusters documents, generates LLM-written summaries at each level, and materializes the result as a tree of navigable skill files. At serve time, the agent receives a bird's-eye vi...",medium,"WixQA, an enterprise customer-support benchmark for RAG",Corpus2Skill distills a document corpus into a hierarchical skill directory offline and lets an LLM agent navigate it at serve time.,unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Core Retrieval and Ranking Methods
A Unified Model and Document Representation for On-Device Retrieval-Augmented Generation,"A unified model that compresses RAG context and utilizes the same representations for retrieval, reducing context size to 1/10 while maintaining performance.",medium,unknown,"A unified model that compresses RAG context and uses the same representations for retrieval, minimizing disk usage while reducing context size required for generation.",unknown,unknown,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)","Efficiency, Deployment, and On-Device RAG"
Shuffle the Context: RoPE-Perturbed Self-Distillation for Long-Context Adaptation,"RoPE-Perturbed Self-Distillation, a training regularizer that creates alternative views of training sequences by perturbing RoPE indices and uses self-distillation to ensure consistent predictions across views.",high,"Long-context adaptation of Llama-3-8B and Qwen-3-4B models, with evaluation on RULER-64K and RULER-256K benchmarks.","Improve positional robustness by training models to produce consistent predictions across different views of the same sequence formed by perturbing RoPE indices, encouraging reliance on semantic signals over position...",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
ROSE: Retrieval-Oriented Segmentation Enhancement,"ROSE: a plug-and-play framework with four components - Internet Retrieval-Augmented Generation module, Textual Prompt Enhancer, Visual Prompt Enhancer, and WebSense module",medium,NEST benchmark constructed using an automated pipeline that generates news-related data samples,Introducing the Novel Emerging Segmentation Task (NEST) and a retrieval-oriented segmentation enhancement framework (ROSE),unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),General or Unspecified RAG
"Large Language Models to Enhance Business Process Modeling: Past, Present, and Future Trends","Following a structured review strategy to identify and analyze relevant studies, classify existing approaches, examine LLM integration into text-to-model pipelines, and investigate evaluation practices",medium,unknown,A literature review of AI-driven methods for transforming natural language into BPMN process models with focus on LLMs,"Persistent challenges related to semantic correctness, evaluation fragmentation, reproducibility, and limited validation in real-world organizational contexts",unknown,"Survey, Theory, and Governance",综述、理论与治理,"综述、理论与治理 (Survey, Theory, and Governance)","Survey, Theory, and Governance"
Beyond Arrow's Impossibility: Fairness as an Emergent Property of Multi-Agent Collaboration,"A controlled hospital triage framework with two agents negotiating over three structured debate rounds, where one agent is aligned to a specific ethical framework via retrieval-augmented generation (RAG), and the othe...",medium,Hospital triage framework,"Fairness emerges through interaction and exchange between agents, rather than being a property of a single model.",No aggregation mechanism can simultaneously satisfy all desiderata of collective rationality (Arrow's Impossibility Theorem); even explicitly aligned agents exhibit intrinsic biases toward certain frameworks.,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
Automatically Inferring Teachers' Geometric Content Knowledge: A Skills Based Approach,"Two classification approaches: (1) retrieval-augmented generation (RAG) and (2) multi-task learning (MTL), comparing skills-aware variants against baselines without skills information.",medium,"31 pre-service teachers solved geometry problems through a custom web platform, yielding 226 responses which were annotated by expert researchers.",Integrating explicit skills information significantly improves Van Hiele classification when using large language models.,unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Domain-Specific RAG Applications
VRAG-DFD: Verifiable Retrieval-Augmentation for MLLM-based Deepfake Detection,"VRAG-DFD framework with accurate dynamic forgery knowledge retrieval and powerful critical reasoning capabilities, using a three-stage training method (Alignment->SFT->GRPO).",high,"Forensic Knowledge Database (FKD) for DFD knowledge annotation, and Forensic Chain-of-Thought Dataset (F-CoT) for critical CoT construction.",Using Retrieval-Augmented Generation (RAG) and Reinforcement Learning (RL) to provide high-quality associated forgery knowledge and endow MLLMs with critical reasoning abilities.,unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Domain-Specific RAG Applications
MM-Doc-R1: Training Agents for Long Document Visual Question Answering through Multi-turn Reinforcement Learning,MM-Doc-R1 framework with Similarity-based Policy Optimization (SPO) algorithm for multi-turn reinforcement learning,high,MMLongbench-Doc benchmark,"MM-Doc-R1 employs an agentic, vision-aware workflow to address long document visual question answering through iterative information discovery and synthesis",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Agentic and Multi-Agent RAG
"A Unified HI Rotation Curve Corpus for Computational Astrophysics: 438 Galaxies from SPARC, THINGS, LITTLE THINGS, and WALLABY DR2","Compilation and structuring of 8,963 spatially resolved HI rotation curve measurements across 423 galaxies into a unified format with nested per-ring kinematic data, survey metadata, column definitions, and data-quali...",medium,"SPARC (175 galaxies), THINGS (34 galaxies), LITTLE THINGS (26 galaxies), and WALLABY DR2 (203 galaxies)",Creating a structured JSON file containing rotation curve measurements from four major surveys to support both numerical analysis and Large Language Model retrieval-augmented generation (RAG) pipelines.,unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),General or Unspecified RAG
The Cognitive Circuit Breaker: A Systems Engineering Framework for Intrinsic AI Reliability,Calculating the 'Cognitive Dissonance Delta' - the mathematical gap between an LLM's outward semantic confidence (softmax probabilities) and its internal latent certainty (derived via linear probes).,medium,unknown,"The Cognitive Circuit Breaker, a systems engineering framework that provides intrinsic reliability monitoring with minimal latency overhead by extracting hidden states during a model's forward pass.",unknown,unknown,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
Representation geometry shapes task performance in vision-language modeling for CT enterography,Vision-language transfer learning on abdominal CT enterography using different pooling strategies and encoding methods,medium,CT enterography for inflammatory bowel disease assessment,The geometry of representations impacts task performance in vision-language modeling for CT enterography,Not explicitly mentioned,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Domain-Specific RAG Applications
FRESCO: Benchmarking and Optimizing Re-rankers for Evolving Semantic Conflict in Retrieval-Augmented Generation,"An instruction optimization framework to mitigate the bias toward older, semantically rich documents by identifying Pareto-optimal instructions that balance Evolving and Non-Evolving Knowledge tasks.",high,Wikipedia revisions paired with recency-seeking queries,"Introduce FRESCO, a benchmark for evaluating re-rankers in temporally dynamic contexts by pairing recency-seeking queries with historical Wikipedia revisions to test whether re-rankers can prioritize factually recent...",Not explicitly mentioned in the abstract,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
DocSeeker: Structured Visual Reasoning with Evidence Grounding for Long Document Understanding,"A two-stage training framework: Supervised Fine-Tuning on high-quality data generated via knowledge distillation, followed by Evidence-aware Group Relative Policy Optimization which jointly optimizes for both evidence...",high,not specified,"A paradigm that requires the model to execute a structured Analysis, Localization and Reasoning workflow to address the challenges of long document understanding.",unknown,unknown,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Core Retrieval and Ranking Methods
